Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Pregabalin;PREGABALIN 150MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 150 mg;29,19;SANDOZ GMBH;044316457;QUB;X;;
Pregabalin;PREGABALIN 150MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 150 mg;29,19;SUN PHARMACEUTICAL IND.EU.B.V.;043571076;QUB;X;;
Pregabalin;PREGABALIN 150MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 150 mg;29,19;TEVA ITALIA Srl;043749783;QUB;X;;
Pregabalin;PREGABALIN 150MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 150 mg;29,19;ZENTIVA K.S.;045270182;QUB;X;;
Pregabalin;PREGABALIN 300MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 300 mg;43,79;ACCORD HEALTHCARE SLU;044474791;QUD;X;;
Pregabalin;PREGABALIN 300MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 300 mg;43,79;ARISTO PHARMA GMBH;043686219;QUD;X;;
Pregabalin;PREGABALIN 300MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 300 mg;43,79;AUROBINDO PHARMA ITALIA Srl;043740380;QUD;X;;
Pregabalin;PREGABALIN 300MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 300 mg;43,79;DOC GENERICI Srl;043674098;QUD;X;;
Pregabalin;PREGABALIN 300MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 300 mg;43,79;EG SpA;045034497;QUD;X;;
Pregabalin;PREGABALIN 300MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 300 mg;43,79;HCS BVBA;043690231;QUD;X;;
Pregabalin;PREGABALIN 300MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 300 mg;43,79;SANDOZ GMBH;044316723;QUD;X;;
Pregabalin;PREGABALIN 300MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 300 mg;43,79;SUN PHARMACEUTICAL IND.EU.B.V.;043571114;QUD;X;;
Pregabalin;PREGABALIN 300MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 300 mg;43,79;TEVA ITALIA Srl;043750191;QUD;X;;
Pregabalin;PREGABALIN 300MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 300 mg;43,79;ZENTIVA K.S.;045270271;QUD;X;;
Pregabalin;PREGABALIN 300MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 300 mg                                                                                                                                                    ;43,79;ZENTIVA ITALIA Srl;044384271;QUD;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg;19,56;ACCORD HEALTHCARE SLU;044474258;QUF;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg;19,56;ARISTO PHARMA GMBH;043686082;QUF;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg;19,56;AUROBINDO PHARMA ITALIA Srl;043740137;QUF;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg;19,56;DOC GENERICI Srl;043674047;QUF;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg;19,56;EG SpA;045034244;QUF;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg;19,56;HCS BVBA;043690080;QUF;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg;19,56;LABORATORI ALTER Srl;043670049;QUF;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg;19,56;PENSA PHARMA SpA;043672031;QUF;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg;19,56;SANDOZ GMBH;044316216;QUF;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg;19,56;SUN PHARMACEUTICAL IND.EU.B.V.;043571049;QUF;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg;19,56;TECNIGEN Srl;043719044;QUF;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg;19,56;TEVA ITALIA Srl;043749504;QUF;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg;19,56;ZENTIVA K.S.;045270129;QUF;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56 cps 75 mg                                                                                                                                                     ;19,56;ZENTIVA ITALIA Srl;044384129;QUF;X;;
Pregabalin;PREGABALIN 150MG 56 UNITA' USO ORALE;PREGABALIN*56x1 cps 150 mg dose singola;29,19;MYLAN Sas;044293328;QUB;X;;
Pregabalin;PREGABALIN 300MG 56 UNITA' USO ORALE;PREGABALIN*56x1 cps 300 mg dose singola;43,79;MYLAN Sas;044293482;QUD;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PREGABALIN*56x1 cps 75 mg dose singola;19,56;MYLAN Sas;044293203;QUF;X;;
Pregabalin;PREGABALIN 20MG/ML 473ML USO ORALE;PREGABALIN*orale 1 flacone 473 ml 20 mg/ml;23,91;ECUPHARMA Srl;046379018;KVH;;;
Pregabalin;PREGABALIN 20MG/ML 250ML USO ORALE;PREGENAQ*20 mg/ml soluzione orale 1 flacone 250 ml;12,64;NEURAXPHARM ITALY SpA;045561014;KZX;;;
Pregabalin;PREGABALIN 25MG 14 UNITA' USO ORALE;PRELYNCA*14 cps 25 mg;1,97;SO.SE.PHARM Srl;043715010;QUC;X;;
Pregabalin;PREGABALIN 150MG 56 UNITA' USO ORALE;PRELYNCA*56 cps 150 mg;29,19;SO.SE.PHARM Srl;043715123;QUB;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;PRELYNCA*56 cps 75 mg;19,56;SO.SE.PHARM Srl;043715073;QUF;X;;
Pregabalin;PREGABALIN 25MG 14 UNITA' USO ORALE;REGALBAX*14 cps 25 mg;1,97;C.T. LAB.FARMACEUTICO Srl;043664010;QUC;X;;
Pregabalin;PREGABALIN 75MG 14 UNITA' USO ORALE;REGALBAX*14 cps 75 mg;4,89;C.T. LAB.FARMACEUTICO Srl;043664022;QUE;X;;
Pregabalin;PREGABALIN 150MG 56 UNITA' USO ORALE;REGALBAX*56 cps 150 mg;29,19;C.T. LAB.FARMACEUTICO Srl;043664059;QUB;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;REGALBAX*56 cps 75 mg;19,56;C.T. LAB.FARMACEUTICO Srl;043664034;QUF;X;;
Pregabalin;PREGABALIN 150MG 56 UNITA' USO ORALE;UTUFAR*56 cps 150 mg;29,19;GENETIC SpA;045399072;QUB;X;;
Pregabalin;PREGABALIN 300MG 56 UNITA' USO ORALE;UTUFAR*56 cps 300 mg;43,79;GENETIC SpA;045399096;QUD;X;;
Pregabalin;PREGABALIN 75MG 56 UNITA' USO ORALE;UTUFAR*56 cps 75 mg;19,56;GENETIC SpA;045399045;QUF;X;;
Primidone;PRIMIDONE 250MG 30 UNITA' USO ORALE;MYSOLINE*30 cpr 250 mg;4,55;SIT LABORATORIO FARMAC. Srl;009340011;QVA;;;
Procarbazina;PROCARBAZINA 50MG 50 UNITA' USO ORALE;NATULAN*50 cps 50 mg flacone;358,00;LEADIANT GmbH;020846010;BSJ;;;
Progesterone;PROGESTERONE 8% 15 UNITA' GEL USO VAGINALE;CRINONE*gel vag 15 applic 8%;53,51;MERCK SERONO SpA;032132033;D5C;;;
Progesterone;PROGESTERONE 200MG 12 UNITA' USO VAGINALE;ESOLUT*12 ovuli vag 200 mg;12,16;ANGELINI SpA;027797024;D5D;;;
Progesterone;PROGESTERONE 2,5% 30G GREMA USO VAGINALE;ESOLUT*crema vag 30 g + 6 applic;6,75;ANGELINI SpA;027797012;D5E;;;
Progesterone;PROGESTERONE 200MG 15 UNITA' USO ORALE O VAGINALE;PROGEFFIK*15 cps orale vag 200 mg;5,02;EFFIK ITALIA SpA;035042035;D5A;;;
Progesterone;PROGESTERONE 100MG 30 UNITA' USO ORALE O VAGINALE;PROGEFFIK*30 cps orale vag 100 mg;5,02;EFFIK ITALIA SpA;035042011;D5B;;;
Progesterone;PROGESTERONE 200MG 15 UNITA' USO ORALE O VAGINALE;PROMETRIUM*15 cps orale vag 200 mg;5,40;ROTTAPHARM SpA;029538028;D5A;;;
Progesterone;PROGESTERONE 100MG 30 UNITA' USO ORALE O VAGINALE;PROMETRIUM*30 cps orale vag 100 mg;5,40;ROTTAPHARM SpA;029538016;D5B;;;
Progesterone;PROGESTERONE 100MG 1ML 3 UNITA' USO PARENTERALE;PRONTOGEST*3 fiale IM 100 mg 1 ml;4,98;IBSA FARMACEUTICI ITALIA Srl;005239052;D5F;;;
Proglumetacina;PROGLUMETACINA 300MG 20 UNITA' USO ORALE;PROXIL*20 cpr 300 mg;8,25;MEDA PHARMA SpA;024116079;QWA;;;
Prometazina;PROMETAZINA 25MG 20 UNITA' USO ORALE;FARGANESSE*20 cpr riv 25 mg;2,65;ANSERIS FARMA Srl;026964015;QYB;;;
Prometazina;PROMETAZINA 50MG 5 UNITA' USO PARENTERALE;FARGANESSE*5 fiale 50 mg/2 ml;5,66;ANSERIS FARMA Srl;026964039;QYA;;;
Propafenone;PROPAFENONE 150MG 30 UNITA' USO ORALE;PROPAFENONE*30 cpr riv 150 mg;3,54;ACCORD HEALTHCARE SLU;044771020;ABA;X;;
Propafenone;PROPAFENONE 150MG 30 UNITA' USO ORALE;PROPAFENONE*30 cpr riv 150 mg;3,54;DOC GENERICI Srl;034079018;ABA;X;;
Propafenone;PROPAFENONE 150MG 30 UNITA' USO ORALE;PROPAFENONE*30 cpr riv 150 mg;3,54;EG SpA;033804016;ABA;X;;
Propafenone;PROPAFENONE 150MG 30 UNITA' USO ORALE;PROPAFENONE*30 cpr riv 150 mg;3,54;PENSA PHARMA SpA;033737014;ABA;X;;
Propafenone;PROPAFENONE 150MG 30 UNITA' USO ORALE;PROPAFENONE*30 cpr riv 150 mg;3,54;RATIOPHARM GMBH;034123012;ABA;X;;
Propafenone;PROPAFENONE 300MG 30 UNITA' USO ORALE;PROPAFENONE*30 cpr riv 300 mg;6,46;ACCORD HEALTHCARE SLU;044771071;ABB;X;;
Propafenone;PROPAFENONE 300MG 30 UNITA' USO ORALE;PROPAFENONE*30 cpr riv 300 mg;6,46;DOC GENERICI Srl;034079020;ABB;X;;
Propafenone;PROPAFENONE 300MG 30 UNITA' USO ORALE;PROPAFENONE*30 cpr riv 300 mg;6,46;EG SpA;033804028;ABB;X;;
Propafenone;PROPAFENONE 300MG 30 UNITA' USO ORALE;PROPAFENONE*30 cpr riv 300 mg;6,46;PENSA PHARMA SpA;033737026;ABB;X;;
Propafenone;PROPAFENONE 325MG 28 UNITA' USO ORALE RP;RYTMONORM*28 cps 325 mg rilascio prolungato;8,59;TEVA ITALIA Srl;024862094;ABC;;;
Propafenone;PROPAFENONE 425MG 28 UNITA' USO ORALE RP;RYTMONORM*28 cps 425 mg rilascio prolungato;13,22;TEVA ITALIA Srl;024862106;ABD;;;
Propafenone;PROPAFENONE 150MG 30 UNITA' USO ORALE;RYTMONORM*30 cpr riv 150 mg;5,28;TEVA ITALIA Srl;024862017;ABA;X;;
Propafenone;PROPAFENONE 300MG 30 UNITA' USO ORALE;RYTMONORM*30 cpr riv 300 mg;10,16;TEVA ITALIA Srl;024862029;ABB;X;;
Propafenone;PROPAFENONE 70MG 5 UNITA' USO PARENTERALE;RYTMONORM*5 fiale EV 70 mg 20 ml;12,83;TEVA ITALIA Srl;024862031;ABE;;;
Propranololo;PROPRANOLOLO 120ML 3,75MG/ML 1 UNITA' USO ORALE;HEMANGIOL*orale soluz flacone 120 ml 3,75 mg/ml + siringa;297,90;PIERRE FABRE DERMATOLOGIE;043368012;QZC;;;
Propranololo;PROPRANOLOLO 40MG 30 UNITA' USO ORALE;INDERAL*30 cpr 40 mg;1,86;ASTRAZENECA SpA;020854028;QZA;;;
Protamina;PROTAMINA 1% 50MG 5ML 1 UNITA' USO PARENTERALE;PROTAMINA*1 fiala EV 50 mg 5 ml;4,85;MEDA PHARMA SpA;004698027;ACA;;;
Proteina del plasma umano antiangioedema;PROTEINA DEL PLASMA UMANO ANTIANGIOEDEMA 1.500U 1 UNITA' USO PARENTERALE;BERINERT*1 flaconcino polv EV 1.500 UI + 1 flaconcino solv 3 ml + set;2.772,67;CSL BEHRING GmbH;039056027;JJX;;;
Proteina del plasma umano antiangioedema;PROTEINA DEL PLASMA UMANO ANTIANGIOEDEMA 500U 1 UNITA' USO PARENTERALE;BERINERT*1 flaconcino polv EV 500 UI + 1 flaconcino solv 10 ml + set;924,22;CSL BEHRING GmbH;039056015;R0A;;;
Proteina del plasma umano antiangioedema;PROTEINA DEL PLASMA UMANO ANTIANGIOEDEMA 500U 2 UNITA' USO PARENTERALE;CINRYZE*2 flaconcini EV 500 U + 2 flaconcini solv 10 ml;1.980,48;SHIRE SERVICES BVBA;042017018;R0B;;;
Prulifloxacina;PRULIFLOXACINA 600MG 5 UNITA' USO ORALE;CHINOPLUS*5 cpr riv 600 mg;20,57;SPA (SOC.PRO.ANTIBIOTICI) SpA;035679036;R1A;;;
Prulifloxacina;PRULIFLOXACINA 600MG 5 UNITA' USO ORALE;KERAFLOX*5 cpr riv 600 mg;20,57;EG SpA;035680038;R1A;;;
Prulifloxacina;PRULIFLOXACINA 600MG 1 UNITA' USO ORALE;UNIDROX*1 cpr riv 600 mg;8,66;ANGELINI SpA;035678034;R1B;;;
Prulifloxacina;PRULIFLOXACINA 600MG 5 UNITA' USO ORALE;UNIDROX*5 cpr riv 600 mg;20,57;ANGELINI SpA;035678022;R1A;;;
Quetiapina;QUETIAPINA 25MG 30 UNITA' USO ORALE;QUENTIAX*30 cpr riv 25 mg;9,27;KRKA D.D.NOVO MESTO;041195049;FVB;X;;
Quetiapina;QUETIAPINA 50MG 60 UNITA' USO ORALE RP;QUENTIAX*60 cpr 50 mg rilascio prolungato;31,49;KRKA D.D.NOVO MESTO;041195761;FVF;X;;
Quetiapina;QUETIAPINA 100MG 60 UNITA' USO ORALE;QUENTIAX*60 cpr riv 100 mg;40,00;KRKA D.D.NOVO MESTO;041195165;FVC;X;;
Quetiapina;QUETIAPINA 150MG 60 UNITA' USO ORALE RP;QUENTIAX*60 cpr riv 150 mg rilascio prolungato;47,83;KRKA D.D.NOVO MESTO;041195583;FVJ;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE;QUENTIAX*60 cpr riv 200 mg;50,00;KRKA D.D.NOVO MESTO;041195381;FVD;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE RP;QUENTIAX*60 cpr riv 200 mg rilascio prolungato;63,76;KRKA D.D.NOVO MESTO;041195645;FVG;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE;QUENTIAX*60 cpr riv 300 mg;60,00;KRKA D.D.NOVO MESTO;041195482;FVE;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE RP;QUENTIAX*60 cpr riv 300 mg rilascio prolungato;71,88;KRKA D.D.NOVO MESTO;041195708;FVH;X;;
Quetiapina;QUETIAPINA 25MG 30 UNITA' USO ORALE;QUETAMED*30 cpr riv 25 mg;9,27;FAIRMED HEALTHCARE GMBH;042175024;FVB;X;;
Quetiapina;QUETIAPINA 100MG 60 UNITA' USO ORALE;QUETAMED*60 cpr riv 100 mg;40,00;FAIRMED HEALTHCARE GMBH;042175036;FVC;X;;
Quetiapina;QUETIAPINA 25MG 30 UNITA' USO ORALE;QUETIAPINA*30 cpr riv 25 mg;9,27;ACCORD HEALTHCARE SLU;041503071;FVB;X;;
Quetiapina;QUETIAPINA 25MG 30 UNITA' USO ORALE;QUETIAPINA*30 cpr riv 25 mg;9,27;AUROBINDO PHARMA ITALIA Srl;039186123;FVB;X;;
Quetiapina;QUETIAPINA 25MG 30 UNITA' USO ORALE;QUETIAPINA*30 cpr riv 25 mg;9,27;DOC GENERICI Srl;040682027;FVB;X;;
Quetiapina;QUETIAPINA 25MG 30 UNITA' USO ORALE;QUETIAPINA*30 cpr riv 25 mg;9,27;EG SpA;040388047;FVB;X;;
Quetiapina;QUETIAPINA 25MG 30 UNITA' USO ORALE;QUETIAPINA*30 cpr riv 25 mg;9,27;LABORATORI ALTER Srl;039744026;FVB;X;;
Quetiapina;QUETIAPINA 25MG 30 UNITA' USO ORALE;QUETIAPINA*30 cpr riv 25 mg;9,27;MYLAN SpA;041024023;FVB;X;;
Quetiapina;QUETIAPINA 25MG 30 UNITA' USO ORALE;QUETIAPINA*30 cpr riv 25 mg;9,27;SANDOZ SpA;040402051;FVB;X;;
Quetiapina;QUETIAPINA 25MG 30 UNITA' USO ORALE;QUETIAPINA*30 cpr riv 25 mg;9,27;TEVA ITALIA Srl;040510152;FVB;X;;
Quetiapina;QUETIAPINA 25MG 30 UNITA' USO ORALE;QUETIAPINA*30 cpr riv 25 mg;9,27;ZENTIVA ITALIA Srl;041279136;FVB;X;;
Quetiapina;QUETIAPINA 25MG 6 UNITA' USO ORALE;QUETIAPINA*6 cpr riv 25 mg;1,84;AUROBINDO PHARMA ITALIA Srl;039186097;FVA;X;;
Quetiapina;QUETIAPINA 25MG 6 UNITA' USO ORALE;QUETIAPINA*6 cpr riv 25 mg;1,84;DOC GENERICI Srl;040682015;FVA;X;;
Quetiapina;QUETIAPINA 25MG 6 UNITA' USO ORALE;QUETIAPINA*6 cpr riv 25 mg;1,84;EG SpA;040388011;FVA;X;;
Quetiapina;QUETIAPINA 25MG 6 UNITA' USO ORALE;QUETIAPINA*6 cpr riv 25 mg;1,84;SANDOZ SpA;040402012;FVA;X;;
Quetiapina;QUETIAPINA 25MG 6 UNITA' USO ORALE;QUETIAPINA*6 cpr riv 25 mg;1,84;TEVA ITALIA Srl;040510125;FVA;X;;
Quetiapina;QUETIAPINA 150MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 150 mg rilascio prolungatO;47,83;ACCORD HEALTHCARE SLU;041966375;FVJ;X;;
Quetiapina;QUETIAPINA 150MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 150 mg rilascio prolungato;47,83;DOC GENERICI Srl;043695117;FVJ;X;;
Quetiapina;QUETIAPINA 150MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 150 mg rilascio prolungato;47,83;EG SpA;043696160;FVJ;X;;
Quetiapina;QUETIAPINA 150MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 150 mg rilascio prolungato;47,83;MYLAN SpA;043057052;FVJ;X;;
Quetiapina;QUETIAPINA 150MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 150 mg rilascio prolungatO;47,83;SANDOZ B.V.;043697111;FVJ;X;;
Quetiapina;QUETIAPINA 150MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 150 mg rilascio prolungatO;47,83;TEVA ITALIA Srl;040433474;FVJ;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 200 mg rilascio prolungato;63,76;ACCORD HEALTHCARE SLU;041966045;FVG;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 200 mg rilascio prolungato;63,76;DOC GENERICI Srl;043695170;FVG;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 200 mg rilascio prolungato;63,76;EG SpA;043696259;FVG;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 200 mg rilascio prolungato;63,76;MYLAN SpA;043057088;FVG;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 200 mg rilascio prolungato;63,76;SANDOZ B.V.;043697174;FVG;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 200 mg rilascio prolungato;63,76;TEVA ITALIA Srl;040433144;FVG;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 300 mg rilascio prolungato;71,88;ACCORD HEALTHCARE SLU;041966096;FVH;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 300 mg rilascio prolungato;71,88;DOC GENERICI Srl;043695232;FVH;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 300 mg rilascio prolungato;71,88;EG SpA;043696347;FVH;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 300 mg rilascio prolungato;71,88;MYLAN SpA;043057126;FVH;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 300 mg rilascio prolungato;71,88;SANDOZ B.V.;043697236;FVH;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 300 mg rilascio prolungato;71,88;TEVA ITALIA Srl;040433221;FVH;X;;
Quetiapina;QUETIAPINA 400MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 400 mg rilascio prolungato;95,64;ACCORD HEALTHCARE SLU;041966146;FVI;X;;
Quetiapina;QUETIAPINA 400MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 400 mg rilascio prolungato;95,64;DOC GENERICI Srl;043695295;FVI;X;;
Quetiapina;QUETIAPINA 400MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 400 mg rilascio prolungato;95,64;EG SpA;043696436;FVI;X;;
Quetiapina;QUETIAPINA 400MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 400 mg rilascio prolungato;95,64;MYLAN SpA;043057153;FVI;X;;
Quetiapina;QUETIAPINA 400MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 400 mg rilascio prolungato;95,64;SANDOZ B.V.;043697299;FVI;X;;
Quetiapina;QUETIAPINA 400MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 400 mg rilascio prolungato;95,64;TEVA ITALIA Srl;040433308;FVI;X;;
Quetiapina;QUETIAPINA 50MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 50 mg rilascio prolungato;31,49;ACCORD HEALTHCARE SLU;041966223;FVF;X;;
Quetiapina;QUETIAPINA 50MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 50 mg rilascio prolungato;31,49;DOC GENERICI Srl;043695055;FVF;X;;
Quetiapina;QUETIAPINA 50MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 50 mg rilascio prolungato;31,49;EG SpA;043696083;FVF;X;;
Quetiapina;QUETIAPINA 50MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 50 mg rilascio prolungato;31,49;MYLAN SpA;043057037;FVF;X;;
Quetiapina;QUETIAPINA 50MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 50 mg rilascio prolungato;31,49;SANDOZ B.V.;043697059;FVF;X;;
Quetiapina;QUETIAPINA 50MG 60 UNITA' USO ORALE RP;QUETIAPINA*60 cpr 50 mg rilascio prolungato;31,49;TEVA ITALIA Srl;040433068;FVF;X;;
Quetiapina;QUETIAPINA 100MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 100 mg;40,00;ACCORD HEALTHCARE SLU;041503246;FVC;X;;
Quetiapina;QUETIAPINA 100MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 100 mg;40,00;AUROBINDO PHARMA ITALIA Srl;039186325;FVC;X;;
Quetiapina;QUETIAPINA 100MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 100 mg;40,00;DOC GENERICI Srl;040682080;FVC;X;;
Quetiapina;QUETIAPINA 100MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 100 mg;40,00;EG SpA;040388136;FVC;X;;
Quetiapina;QUETIAPINA 100MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 100 mg;40,00;LABORATORI ALTER Srl;039744077;FVC;X;;
Quetiapina;QUETIAPINA 100MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 100 mg;40,00;MYLAN SpA;041024035;FVC;X;;
Quetiapina;QUETIAPINA 100MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 100 mg;40,00;SANDOZ GMBH;040968063;FVC;X;;
Quetiapina;QUETIAPINA 100MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 100 mg;40,00;TEVA ITALIA Srl;040510265;FVC;X;;
Quetiapina;QUETIAPINA 100MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 100 mg;40,00;ZENTIVA ITALIA Srl;041279151;FVC;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 200 mg;50,00;ACCORD HEALTHCARE SLU;041503386;FVD;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 200 mg;50,00;AUROBINDO PHARMA ITALIA Srl;039186681;FVD;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 200 mg;50,00;DOC GENERICI Srl;040682092;FVD;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 200 mg;50,00;EG SpA;040388252;FVD;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 200 mg;50,00;MYLAN SpA;041024047;FVD;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 200 mg;50,00;SANDOZ GMBH;040968190;FVD;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 200 mg;50,00;TEVA ITALIA Srl;040510683;FVD;X;;
Quetiapina;QUETIAPINA 200MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 200 mg;50,00;ZENTIVA ITALIA Srl;041279276;FVD;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 300 mg;60,00;ACCORD HEALTHCARE SLU;041503525;FVE;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 300 mg;60,00;DOC GENERICI Srl;040682142;FVE;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 300 mg;60,00;EG SpA;040388338;FVE;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 300 mg;60,00;MYLAN SpA;041024050;FVE;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 300 mg;60,00;SANDOZ GMBH;040968327;FVE;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 300 mg;60,00;TEVA ITALIA Srl;040510986;FVE;X;;
Quetiapina;QUETIAPINA 300MG 60 UNITA' USO ORALE;QUETIAPINA*60 cpr riv 300 mg;60,00;ZENTIVA ITALIA Srl;041279377;FVE;X;;
